timestamp,transfer,bitrate
2024-04-10 06:20:43,912,191
2024-04-10 06:30:43,784,164
2024-04-10 06:35:43,715,150
2024-04-10 06:40:43,931,195
2024-04-10 06:45:43,805,169
2024-04-10 06:50:42,876,184
2024-04-10 06:55:42,901,189
2024-04-10 07:00:42,513,108
2024-04-10 07:05:42,866,182
2024-04-10 07:10:42,893,187
2024-04-10 07:15:42,973,204
2024-04-10 07:20:42,754,158
2024-04-10 07:25:42,914,192
2024-04-10 07:30:42,956,201
2024-04-10 07:35:42,669,140
2024-04-10 07:40:43,938,197
2024-04-10 07:45:43,961,201
2024-04-10 07:50:44,909,191
2024-04-10 07:55:43,716,150
2024-04-10 08:00:42,722,151
2024-04-10 08:05:42,659,138
2024-04-10 08:10:42,705,148
2024-04-10 08:15:43,852,179
2024-04-10 08:20:43,840,176
2024-04-10 08:25:43,267,56.0
2024-04-10 08:30:43,697,146
2024-04-10 08:35:43,848,178
2024-04-10 08:40:43,690,145
2024-04-10 08:45:43,900,189
2024-04-10 08:50:43,840,176
2024-04-10 08:55:43,600,126
2024-04-10 09:00:42,947,199
2024-04-10 09:05:42,982,206
2024-04-10 09:10:42,938,197
2024-04-10 09:15:43,764,160
2024-04-10 09:20:42,558,117
2024-04-10 09:25:42,687,144
2024-04-10 09:30:42,272,57.0
2024-04-10 09:35:42,603,126
2024-04-10 09:40:42,667,140
2024-04-10 09:45:42,767,161
2024-04-10 09:50:42,411,86.2
2024-04-10 09:55:42,502,105
2024-04-10 10:00:42,878,184
2024-04-10 10:05:43,738,155
2024-04-10 10:10:43,543,114
2024-04-10 10:15:43,428,89.8
2024-04-10 10:20:43,488,102
2024-04-10 10:25:43,742,156
2024-04-10 10:30:43,636,133
2024-04-10 10:35:42,593,124
2024-04-10 10:40:42,753,158
2024-04-10 10:45:42,488,102
2024-04-10 10:50:43,534,112
2024-04-10 10:55:43,399,83.8
2024-04-10 11:00:42,527,111
2024-04-10 11:05:42,682,143
2024-04-10 11:10:43,840,176
2024-04-10 11:15:42,609,128
2024-04-10 11:20:42,309,64.7
2024-04-10 11:26:02,778,163
2024-04-10 11:30:43,479,100
2024-04-10 11:35:43,639,134
2024-04-10 11:40:43,658,138
2024-04-10 11:45:42,670,140
2024-04-10 11:50:42,593,124
2024-04-10 11:55:43,553,116
2024-04-10 12:00:43,690,145
2024-04-10 12:05:43,572,120
2024-04-10 12:10:42,872,183
2024-04-10 12:15:42,697,146
2024-04-10 12:20:42,598,125
2024-04-10 12:25:42,395,82.9
2024-04-10 12:30:43,827,173
2024-04-10 12:35:43,687,144
2024-04-10 12:40:43,600,126
2024-04-10 12:45:43,822,172
2024-04-10 12:50:43,666,140
2024-04-10 12:55:42,615,129
2024-04-10 13:00:43,585,123
2024-04-10 13:05:43,278,58.3
2024-04-10 13:10:43,995,209
2024-04-10 13:15:43,845,177
2024-04-10 13:20:43,691,145
2024-04-10 13:25:42,704,148
2024-04-10 13:30:42,425,89.1
2024-04-10 13:35:42,715,150
2024-04-10 13:40:42,612,128
2024-04-10 13:45:42,448,93.8
2024-04-10 13:50:42,509,107
2024-04-10 13:55:42,377,79.1
2024-04-10 14:00:42,450,94.4
2024-04-10 14:05:42,434,90.9
2024-04-10 14:10:43,711,149
2024-04-10 14:15:43,686,144
2024-04-10 14:20:43,931,195
2024-04-10 14:25:43,685,144
2024-04-10 14:30:43,748,157
2024-04-10 14:35:43,706,148
2024-04-10 14:40:43,659,138
2024-04-10 14:45:43,512,107
2024-04-10 14:50:43,495,104
2024-04-10 14:55:43,594,125
2024-04-10 15:00:42,541,113
2024-04-10 15:05:43,650,136
2024-04-10 15:10:42,588,123
2024-04-10 15:15:42,815,171
2024-04-10 15:20:43,884,185
2024-04-10 15:25:42,834,175
2024-04-10 15:30:43,617,129
2024-04-10 15:35:43,797,167
2024-04-10 15:40:43,551,115
2024-04-10 15:45:43,511,107
2024-04-10 15:50:43,732,154
2024-04-10 15:55:43,439,92.1
2024-04-10 16:00:43,566,119
2024-04-10 16:05:43,869,182
2024-04-10 16:10:43,423,88.8
2024-04-10 16:15:43,540,113
2024-04-10 16:20:42,518,109
2024-04-10 16:25:42,743,156
2024-04-10 16:30:43,789,166
2024-04-10 16:35:43,496,104
2024-04-10 16:40:43,244,51.1
2024-04-10 16:45:43,552,116
2024-04-10 16:50:43,503,105
2024-04-10 16:55:43,405,84.9
2024-04-10 17:00:42,318,66.8
2024-04-10 17:05:42,809,170
2024-04-10 17:10:43,277,58.0
2024-04-10 17:15:43,359,75.2
2024-04-10 17:20:43,631,132
2024-04-10 17:25:43,583,122
2024-04-10 17:30:42,294,61.6
2024-04-10 17:35:43,302,63.4
2024-04-10 17:40:42,609,128
2024-04-10 17:45:42,473,99.1
2024-04-10 17:50:42,752,158
2024-04-10 17:55:43,635,133
2024-04-10 18:00:43,518,109
2024-04-10 18:05:43,1.01,217
2024-04-10 18:10:43,262,54.9
2024-04-10 18:15:43,387,81.3
2024-04-10 18:20:43,600,126
2024-04-10 18:25:42,309,64.9
2024-04-10 18:30:43,673,141
2024-04-10 18:35:44,627,131
2024-04-10 18:40:43,556,117
2024-04-10 18:45:42,562,118
2024-04-10 18:50:43,719,151
2024-04-10 18:55:43,745,156
2024-04-10 19:00:42,556,117
2024-04-10 19:05:43,747,157
2024-04-10 19:10:43,588,123
2024-04-10 19:15:43,599,126
2024-04-10 19:20:43,562,118
2024-04-10 19:25:43,335,70.3
2024-04-10 19:30:43,654,137
2024-04-10 19:35:43,309,64.7
2024-04-10 19:40:43,393,82.4
2024-04-10 19:45:43,705,148
2024-04-10 19:50:43,639,134
2024-04-10 19:55:43,723,152
2024-04-10 20:00:42,742,156
2024-04-10 20:05:43,533,112
2024-04-10 20:10:43,504,106
2024-04-10 20:15:42,619,130
2024-04-10 20:20:42,697,146
2024-04-10 20:25:43,596,125
2024-04-10 20:30:43,943,198
2024-04-10 20:35:42,434,91.0
2024-04-10 20:40:54,389,81.5
2024-04-10 20:45:44,624,131
2024-04-10 20:50:43,323,67.7
2024-04-10 20:55:43,694,146
2024-04-10 21:01:03,453,95.1
2024-04-10 21:05:43,176,36.9
2024-04-10 21:10:43,351,73.5
2024-04-10 21:15:43,287,60.1
2024-04-10 21:20:42,738,155
2024-04-10 21:25:43,277,58.1
2024-04-10 21:30:42,584,122
2024-04-10 21:35:43,299,62.7
2024-04-10 21:40:43,429,89.9
2024-04-10 21:45:42,338,70.8
2024-04-10 21:50:43,391,82.0
2024-04-10 21:55:43,410,86.0
2024-04-10 22:00:43,619,130
2024-04-10 22:05:43,392,82.2
2024-04-10 22:10:43,613,129
2024-04-10 22:15:43,372,78.0
2024-04-10 22:20:42,492,103
2024-04-10 22:26:01,575,121
2024-04-10 22:30:43,167,35.1
2024-04-10 22:36:03,402,84.3
2024-04-10 22:40:42,639,134
2024-04-10 22:45:42,197,41.3
2024-04-10 22:50:43,623,131
2024-04-10 22:55:43,651,137
2024-04-10 23:00:43,673,141
2024-04-10 23:05:43,656,138
2024-04-10 23:10:43,500,105
2024-04-10 23:15:43,240,50.3
2024-04-10 23:20:43,629,132
2024-04-10 23:25:42,773,162
2024-04-10 23:30:43,543,114
2024-04-10 23:35:42,715,150
2024-04-10 23:40:43,523,110
2024-04-10 23:45:43,536,112
2024-04-10 23:50:42,768,161
2024-04-10 23:55:42,708,149
2024-04-11 00:00:43,810,170
2024-04-11 00:05:43,927,194
2024-04-11 00:10:43,876,184
2024-04-11 00:15:43,880,185
2024-04-11 00:20:42,799,168
2024-04-11 00:25:43,646,135
2024-04-11 00:30:43,752,158
2024-04-11 00:35:43,878,184
2024-04-11 00:40:43,718,151
2024-04-11 00:45:43,887,186
2024-04-11 00:50:43,926,194
2024-04-11 00:55:43,755,158
2024-04-11 01:05:42,738,155
2024-04-11 01:10:42,873,183
2024-04-11 01:15:42,911,191
2024-04-11 01:20:42,1.05,226
2024-04-11 01:26:02,823,173
2024-04-11 01:30:42,775,163
2024-04-11 01:35:42,799,168
2024-04-11 01:40:43,767,161
2024-04-11 01:45:42,868,182
2024-04-11 01:50:43,722,151
2024-04-11 01:55:42,865,181
2024-04-11 02:00:42,731,153
2024-04-11 02:05:43,763,160
2024-04-11 02:10:42,791,166
2024-04-11 02:15:43,849,178
2024-04-11 02:20:43,898,188
2024-04-11 02:25:43,760,159
2024-04-11 02:30:43,697,146
2024-04-11 02:35:43,920,193
2024-04-11 02:40:43,791,166
2024-04-11 02:45:43,882,185
2024-04-11 02:50:43,829,174
2024-04-11 02:55:43,862,181
2024-04-11 03:00:43,767,161
2024-04-11 03:05:43,979,205
2024-04-11 03:10:43,934,196
2024-04-11 03:15:43,898,188
2024-04-11 03:20:43,957,201
2024-04-11 03:25:43,996,209
2024-04-11 03:30:43,750,157
2024-04-11 03:35:43,1.04,222
2024-04-11 03:45:42,1.01,216
