timestamp,transfer,transfer_speed,bitrate,jitter,lost_total_datagrams,datagram_loss_percent
2024-04-09 19:17:42,721,MBytes,151,0.033,352037/892218,39
2024-04-09 19:22:41,848,MBytes,178,0.096,256992/892337,29
2024-04-09 19:27:42,1018,MBytes,214,0.035,129735/892241,15
2024-04-09 19:32:42,831,MBytes,174,0.052,270151/892185,30
2024-04-09 19:37:42,890,MBytes,187,1.056,225130/892026,25
2024-04-09 19:42:42,744,MBytes,156,0.068,334830/892340,38
2024-04-09 19:47:42,889,MBytes,186,0.060,226475/892288,25
2024-04-09 19:52:42,699,MBytes,147,0.068,369621/892867,41
2024-04-09 19:57:42,751,MBytes,157,0.125,329859/892100,37
2024-04-09 20:02:43,342,MBytes,71.7,0.071,636609/892551,71
2024-04-09 20:07:42,975,MBytes,205,0.382,162106/892577,18
2024-04-09 20:12:42,505,MBytes,106,0.058,514276/892224,58
2024-04-09 20:17:43,916,MBytes,192,0.025,207216/893196,23
2024-04-09 20:22:42,917,MBytes,192,0.171,205376/892461,23
2024-04-09 20:27:42,994,MBytes,209,0.330,147538/892235,17
2024-04-09 20:32:42,498,MBytes,104,0.059,519880/892734,58
2024-04-09 20:37:42,530,MBytes,111,0.060,494784/892014,55
2024-04-09 20:42:42,686,MBytes,144,0.053,378534/892078,42
2024-04-09 20:47:42,1.07,GBytes,229,0.105,72900/892160,8.2
2024-04-09 20:52:42,854,MBytes,179,0.023,252485/892282,28
2024-04-09 20:57:42,870,MBytes,182,0.021,240853/892263,27
2024-04-09 21:02:42,620,MBytes,130,0.038,427586/891877,48
2024-04-09 21:07:42,698,MBytes,146,0.189,369582/892220,41
2024-04-09 21:12:42,729,MBytes,153,0.040,346754/892454,39
2024-04-09 21:17:42,1.07,GBytes,229,0.042,75265/892363,8.4
2024-04-09 21:22:42,680,MBytes,143,0.068,384208/893606,43
2024-04-09 21:27:42,648,MBytes,136,0.089,406927/892605,46
2024-04-09 21:32:42,733,MBytes,154,0.045,343407/892299,38
2024-04-09 21:37:42,1.09,GBytes,235,0.033,54255/893664,6.1
2024-04-09 21:42:42,952,MBytes,200,0.051,179253/892492,20
2024-04-09 21:47:42,1.02,GBytes,220,0.162,107690/892140,12
2024-04-09 21:52:41,1018,MBytes,213,0.063,129762/892220,15
2024-04-09 21:57:42,893,MBytes,187,0.041,223150/892035,25
2024-04-09 22:02:43,987,MBytes,207,0.069,152859/892098,17
2024-04-09 22:07:42,1022,MBytes,214,0.081,126804/892063,14
2024-04-09 22:12:42,1.04,GBytes,223,0.711,96934/892995,11
2024-04-09 22:17:42,1.07,GBytes,229,0.074,75433/892308,8.5
2024-04-09 22:22:42,1.08,GBytes,232,0.083,64560/893459,7.2
2024-04-09 22:27:42,982,MBytes,206,0.043,156769/892144,18
2024-04-09 22:32:42,1.03,GBytes,221,0.028,101813/892058,11
2024-04-09 22:37:42,999,MBytes,209,0.057,144169/892202,16
2024-04-09 22:42:42,997,MBytes,209,0.027,145337/892236,16
2024-04-09 22:47:42,1.04,GBytes,222,0.070,98440/892373,11
2024-04-09 22:52:42,1.09,GBytes,235,0.024,52721/892286,5.9
2024-04-09 22:57:42,1.13,GBytes,243,0.029,27099/893731,3
2024-04-09 23:02:42,1.05,GBytes,226,0.051,86000/893475,9.6
2024-04-09 23:07:42,869,MBytes,182,0.032,241577/892545,27
2024-04-09 23:12:42,1.04,GBytes,223,0.066,95241/892152,11
2024-04-09 23:17:42,1.15,GBytes,246,0.045,14741/893553,1.6
2024-04-09 23:22:42,1.00,GBytes,216,0.047,121693/892297,14
2024-04-09 23:27:42,1.14,GBytes,244,0.072,19703/892817,2.2
2024-04-09 23:32:42,1.13,GBytes,243,0.069,25704/892160,2.9
2024-04-09 23:37:42,1.11,GBytes,238,0.036,43946/893793,4.9
2024-04-09 23:42:42,1.13,GBytes,243,0.050,23548/893145,2.6
2024-04-09 23:47:42,1.15,GBytes,248,0.062,8568/893609,0.96
2024-04-09 23:52:42,1.09,GBytes,234,0.084,57751/893426,6.5
2024-04-09 23:57:42,1.06,GBytes,228,0.037,79464/891968,8.9
2024-04-10 00:02:41,1.10,GBytes,237,0.058,47743/893272,5.3
2024-04-10 00:07:42,1.01,GBytes,216,0.046,120656/893320,14
2024-04-10 00:12:42,1.15,GBytes,246,0.046,15003/893720,1.7
2024-04-10 00:17:42,1.00,GBytes,215,0.051,124129/892203,14
2024-04-10 00:22:42,926,MBytes,194,0.070,199112/892456,22
2024-04-10 00:27:42,1.09,GBytes,234,0.051,57442/892538,6.4
2024-04-10 00:32:42,1.09,GBytes,235,0.139,55810/893354,6.2
2024-04-10 00:37:42,958,MBytes,201,0.094,174887/892221,20
2024-04-10 00:42:42,1.12,GBytes,241,0.049,34364/893697,3.8
2024-04-10 00:47:42,1.15,GBytes,247,0.049,10921/893966,1.2
2024-04-10 00:52:42,1.08,GBytes,232,0.016,65036/892251,7.3
2024-04-10 00:57:42,1.15,GBytes,246,0.039,13244/892838,1.5
2024-04-10 01:02:42,1.15,GBytes,247,1.214,12122/892515,1.4
2024-04-10 01:07:42,1.13,GBytes,242,0.787,27704/892248,3.1
2024-04-10 01:12:42,1.12,GBytes,241,0.027,31911/893508,3.6
2024-04-10 01:17:42,1.07,GBytes,230,0.087,72439/893398,8.1
2024-04-10 01:22:42,1.00,GBytes,216,0.042,122844/892586,14
2024-04-10 01:27:42,1.15,GBytes,248,0.023,8226/893421,0.92
2024-04-10 01:32:42,946,MBytes,198,0.038,183621/892524,21
2024-04-10 01:37:42,1.14,GBytes,245,0.051,17414/892027,2
2024-04-10 01:42:42,1.10,GBytes,236,0.025,49945/893691,5.6
2024-04-10 01:47:42,1.09,GBytes,234,0.058,57580/892399,6.5
2024-04-10 01:52:42,1.02,GBytes,220,0.076,107198/892309,12
2024-04-10 01:57:43,1.02,GBytes,218,0.063,112178/892342,13
2024-04-10 02:02:42,1.14,GBytes,246,0.027,15220/893175,1.7
