timestamp,transfer,transfer_speed,bitrate,jitter,lost_total_datagrams,datagram_loss_percent
2024-04-10 00:03:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 00:13:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 00:19:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 00:23:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 00:29:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 00:33:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 00:43:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 00:49:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 00:53:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 01:03:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 01:09:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 01:13:41,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 01:23:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 01:29:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 01:33:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 01:39:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 01:43:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 01:49:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 01:53:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 02:03:41,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 02:13:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 02:19:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 02:23:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 02:29:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 02:33:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 02:39:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 02:43:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 02:49:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 02:53:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 02:59:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 03:03:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 03:09:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-10 03:13:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 03:19:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 03:23:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-10 03:34:50,119,MBytes,25.0,0.000,0/89284,0
