timestamp,transfer,transfer_speed,bitrate,jitter,lost_total_datagrams,datagram_loss_percent
2024-04-09 23:33:42,88.6,MBytes,18.5,1.109,22306/88651,25
2024-04-09 23:39:42,118,MBytes,24.7,0.570,762/89271,0.85
2024-04-09 23:43:41,93.0,MBytes,19.4,0.825,19181/88867,22
2024-04-09 23:53:42,116,MBytes,24.2,0.602,2683/89242,3
2024-04-09 23:59:42,76.1,MBytes,15.9,0.517,32102/89063,36
2024-04-10 00:03:42,96.1,MBytes,20.1,0.681,17247/89259,19
2024-04-10 00:13:42,104,MBytes,21.7,1.066,11252/88915,13
2024-04-10 00:19:42,115,MBytes,24.1,0.708,2671/88902,3
2024-04-10 00:23:42,118,MBytes,24.7,0.752,553/89005,0.62
2024-04-10 00:29:42,101,MBytes,21.2,0.687,13138/88852,15
2024-04-10 00:33:42,113,MBytes,23.6,0.578,4861/89279,5.4
2024-04-10 00:43:42,110,MBytes,23.0,0.651,6679/89122,7.5
2024-04-10 00:49:42,118,MBytes,24.8,0.708,597/89274,0.67
2024-04-10 00:53:42,93.4,MBytes,19.5,0.701,19340/89263,22
2024-04-10 01:03:42,96.8,MBytes,20.2,0.648,16768/89254,19
2024-04-10 01:09:42,112,MBytes,23.4,0.708,5024/88851,5.7
2024-04-10 01:13:41,117,MBytes,24.5,0.671,1506/89254,1.7
2024-04-10 01:23:42,104,MBytes,21.7,1.462,10955/88717,12
2024-04-10 01:29:42,89.1,MBytes,18.6,0.661,22280/88996,25
2024-04-10 01:33:42,96.1,MBytes,20.1,1.815,16834/88774,19
2024-04-10 01:39:42,102,MBytes,21.2,0.474,12782/88889,14
2024-04-10 01:43:42,118,MBytes,24.6,0.823,959/89249,1.1
2024-04-10 01:49:42,100,MBytes,21.0,0.766,13807/88952,16
2024-04-10 01:53:42,118,MBytes,24.6,0.630,987/89067,1.1
2024-04-10 02:03:41,77.0,MBytes,16.1,0.757,31246/88953,35
2024-04-10 02:13:42,106,MBytes,22.2,0.647,9523/89213,11
2024-04-10 02:19:42,107,MBytes,22.4,0.863,8525/88758,9.6
2024-04-10 02:23:42,105,MBytes,21.9,1.296,10217/88586,12
2024-04-10 02:29:42,86.6,MBytes,18.1,0.572,23537/88401,27
2024-04-10 02:33:42,115,MBytes,24.1,0.613,2526/88794,2.8
2024-04-10 02:39:42,68.6,MBytes,14.3,0.490,37183/88568,42
2024-04-10 02:43:42,104,MBytes,21.7,0.694,10924/88640,12
2024-04-10 02:49:42,82.8,MBytes,17.3,0.800,26681/88719,30
2024-04-10 02:53:42,110,MBytes,23.0,4.607,6571/88985,7.4
2024-04-10 02:59:42,82.3,MBytes,17.2,0.798,26816/88491,30
2024-04-10 03:03:42,73.7,MBytes,15.4,0.597,33673/88846,38
2024-04-10 03:09:42,110,MBytes,23.1,0.660,6492/89080,7.3
2024-04-10 03:13:42,118,MBytes,24.6,0.946,888/89157,1
2024-04-10 03:19:42,63.7,MBytes,13.3,0.699,41369/89096,46
2024-04-10 03:23:42,101,MBytes,21.0,0.613,13358/88795,15
2024-04-10 03:34:50,98.9,MBytes,20.7,1.283,14790/88864,17
2024-04-10 03:43:42,119,MBytes,24.8,0.683,427/89269,0.48
2024-04-10 03:53:42,114,MBytes,23.8,0.627,3924/89255,4.4
2024-04-10 03:59:42,107,MBytes,22.4,0.595,8944/89123,10
2024-04-10 04:03:42,109,MBytes,22.8,1.335,7430/89243,8.3
2024-04-10 04:13:42,117,MBytes,24.5,0.698,1329/89001,1.5
2024-04-10 04:19:53,118,MBytes,24.8,0.643,560/89285,0.63
2024-04-10 04:23:42,113,MBytes,23.5,0.625,4624/88961,5.2
2024-04-10 04:29:42,118,MBytes,24.6,0.594,849/89085,0.95
2024-04-10 04:33:42,118,MBytes,24.7,0.731,577/89044,0.65
2024-04-10 04:39:42,101,MBytes,21.1,4.152,12980/88595,15
2024-04-10 04:43:42,105,MBytes,21.9,0.526,10265/88697,12
2024-04-10 04:49:42,108,MBytes,22.5,0.585,8526/89097,9.6
2024-04-10 04:53:42,118,MBytes,24.7,1.218,588/89054,0.66
2024-04-10 05:03:42,101,MBytes,21.1,0.418,13005/88530,15
2024-04-10 05:09:42,93.9,MBytes,19.6,0.685,18198/88545,21
2024-04-10 05:13:42,92.9,MBytes,19.4,0.552,19166/88744,22
2024-04-10 05:19:42,114,MBytes,23.8,0.587,3701/89023,4.2
2024-04-10 05:23:42,98.4,MBytes,20.6,1.045,14796/88527,17
2024-04-10 05:33:42,101,MBytes,21.1,0.433,13092/88593,15
2024-04-10 05:43:42,118,MBytes,24.7,0.667,463/88911,0.52
2024-04-10 05:49:42,114,MBytes,23.9,1.112,3355/89092,3.8
2024-04-10 05:53:42,99.0,MBytes,20.7,1.056,14489/88625,16
2024-04-10 06:03:41,95.5,MBytes,20.0,0.718,17761/89271,20
2024-04-10 06:13:42,118,MBytes,24.6,0.552,948/89264,1.1
2024-04-10 06:29:42,115,MBytes,24.1,0.614,2545/88812,2.9
2024-04-10 06:33:42,69.8,MBytes,14.6,0.638,36786/89051,41
2024-04-10 06:39:42,117,MBytes,24.5,0.451,1000/88758,1.1
2024-04-10 06:43:41,117,MBytes,24.4,0.633,1774/89265,2
2024-04-10 06:53:42,106,MBytes,22.2,0.716,9649/89262,11
2024-04-10 07:03:42,91.1,MBytes,19.0,0.725,21035/89252,24
2024-04-10 07:13:42,109,MBytes,22.7,0.534,7877/89271,8.8
2024-04-10 07:23:42,104,MBytes,21.8,0.717,11169/89276,13
2024-04-10 07:33:42,115,MBytes,24.1,1.136,2971/89246,3.3
2024-04-10 07:43:42,97.0,MBytes,20.3,0.640,16102/88757,18
2024-04-10 07:53:42,118,MBytes,24.6,0.664,1053/89065,1.2
2024-04-10 08:03:42,97.6,MBytes,20.4,0.624,16182/89260,18
2024-04-10 08:13:42,78.5,MBytes,16.4,0.694,29950/88748,34
2024-04-10 08:23:42,90.6,MBytes,19.0,1.218,20700/88585,23
2024-04-10 08:29:41,98.5,MBytes,20.6,0.733,15181/88983,17
2024-04-10 08:33:41,95.8,MBytes,20.0,0.514,17209/88999,19
2024-04-10 08:39:42,89.7,MBytes,18.7,0.637,21955/89114,25
2024-04-10 08:43:42,87.6,MBytes,18.3,0.422,23202/88789,26
2024-04-10 08:49:41,57.8,MBytes,12.1,0.924,45848/89138,51
