timestamp,min,avg,max,mdev
2024-04-26 23:47:40,48.596,50.330,57.692,2.248
2024-04-26 23:49:40,48.601,50.203,61.200,2.640
2024-04-26 23:50:40,48.685,50.900,62.689,3.180
2024-04-26 23:51:40,48.706,50.430,58.170,2.379
2024-04-26 23:52:40,48.734,50.657,70.665,3.861
2024-04-26 23:53:40,48.664,49.936,58.576,2.153
2024-04-26 23:55:40,48.687,49.791,56.429,1.718
2024-04-26 23:56:40,48.627,50.649,63.420,2.964
2024-04-26 23:57:40,48.661,50.712,66.403,3.079
2024-04-26 23:59:40,48.582,50.242,58.210,2.183
2024-04-27 00:00:40,48.599,50.456,66.647,3.022
2024-04-27 00:01:40,48.642,50.464,61.042,3.007
2024-04-27 00:02:40,48.709,50.768,61.677,2.949
2024-04-27 00:03:40,48.655,50.315,59.222,2.303
2024-04-27 00:05:40,48.684,50.407,57.198,2.298
2024-04-27 00:06:40,48.641,50.590,59.705,2.714
2024-04-27 00:07:20,48.699,49.784,55.250,1.588
2024-04-27 00:09:20,48.719,50.677,54.539,1.970
2024-04-27 00:10:20,48.706,51.609,58.590,2.987
2024-04-27 00:11:20,48.793,50.181,55.232,1.770
2024-04-27 00:12:20,48.607,49.971,53.395,1.411
2024-04-27 00:13:20,48.734,51.025,56.927,2.497
2024-04-27 00:15:20,48.775,50.533,62.617,3.384
2024-04-27 00:16:20,48.672,49.641,53.634,1.259
2024-04-27 00:17:20,48.788,51.140,60.563,3.256
2024-04-27 00:19:20,48.709,50.369,56.506,2.330
2024-04-27 00:20:20,48.682,50.647,60.631,3.204
2024-04-27 00:21:20,48.723,50.856,58.729,2.664
2024-04-27 00:22:20,48.823,51.213,70.198,4.996
2024-04-27 00:23:20,48.927,50.439,58.277,2.230
2024-04-27 00:25:20,48.723,50.607,59.466,2.825
2024-04-27 00:26:20,48.671,50.198,60.461,2.834
2024-04-27 00:27:20,48.745,49.781,53.077,1.089
2024-04-27 00:29:20,48.621,50.956,66.251,4.276
2024-04-27 00:30:20,48.836,50.374,55.168,1.720
2024-04-27 00:31:20,48.728,49.740,52.834,1.242
2024-04-27 00:32:20,48.708,50.727,58.405,2.470
2024-04-27 00:33:20,48.725,49.809,52.757,1.090
2024-04-27 00:35:20,48.675,50.240,54.383,1.845
2024-04-27 00:36:20,48.814,50.723,58.149,2.531
2024-04-27 00:37:20,48.806,51.606,67.350,4.777
2024-04-27 00:39:20,48.708,50.101,56.714,1.917
2024-04-27 00:40:20,48.671,50.694,61.368,3.019
2024-04-27 00:41:20,48.610,50.130,58.798,2.196
2024-04-27 00:42:20,48.707,50.856,60.558,3.299
2024-04-27 00:43:20,48.656,49.942,53.738,1.479
2024-04-27 00:45:20,50.182,52.915,59.820,2.882
2024-04-27 00:46:20,49.400,52.922,58.616,2.510
2024-04-27 00:47:20,48.811,51.070,58.488,2.800
2024-04-27 00:49:20,48.694,50.067,62.552,3.060
2024-04-27 00:50:20,48.769,51.053,69.618,4.570
2024-04-27 00:51:20,48.745,50.162,54.157,1.672
